respondent_id_number,number_of_children,age_of_respondent,highest_year_of_school_completed,highest_year_school_completed_father,highest_year_school_completed_mother,highest_year_school_completed_spouse,college_major_1,college_major_2,diploma_ged_or_other,respondents_sex,number_of_brothers_and_sisters,labor_force_status,number_of_hours_worked_last_week,number_of_hours_usually_work_a_week,self_emp_or_works_for_somebody,govt_or_private_employee,occupation_code,marital_status,marital_type,race_of_respondent,born_in_us,should_govt_reduce_income_differences,favor_or_oppose_death_penalty_for_murder,should_marijuana_be_made_legal,rs_religious_preference,specific_denomination,other_protestant_denominations,general_happiness,condition_of_health,is_life_exciting_or_dull,ballot_used_for_interview,parks_and_recreation,mass_transportation,number_of_persons_in_household,total_family_income,respondents_income,region_of_interview,size_of_place_in_1000s,political_party_affiliation,think_of_self_as_liberal_or_conservative,space_exploration_program,improving_protecting_environment,improving_protecting_nations_health,lived_in_us
74,2,42,20,12,16,16,Business administration,NA,High school diploma,Female,2,Working fulltime,45,NA,Someone else,Private,Computer programmers,Married,Marriage between a man and a woman,White,Yes,2,Oppose,Legal,Catholic,NA,NA,Pretty happy,Good,Routine,Ballot c,About right,Too little,1,Refused,$25000 or more,Middle Atlantic,8175,Democrat,Liberal,About right,Too little,Too little,NA
75,0,21,14,18,14,NA,NA,NA,High school diploma,Male,3,Working fulltime,35,NA,Someone else,Private,"Wholesale and retail buyers, except farm products",Never married,NA,White,Yes,4,Oppose,Legal,None,NA,NA,Pretty happy,Fair,Exciting,Ballot c,Too little,Too little,4,$25000 or more,$7000 to 7999,Middle Atlantic,9,NA,Liberal,NA,NA,NA,NA
76,2,33,14,NA,NA,NA,Child/human/family development,NA,High school diploma,Female,2,Working fulltime,32,NA,Someone else,Private,"Office clerks, general",Never married,NA,Black,Yes,NA,Favor,NA,Protestant,Am bapt ch in usa,NA,Very happy,Excellent,Routine,Ballot a,Too little,Too little,11,Refused,$25000 or more,Middle Atlantic,9,NA,Conservative,NA,NA,NA,NA
77,2,37,16,14,12,16,Biology,NA,High school diploma,Female,3,Working fulltime,50,NA,Someone else,Private,Market research analysts and marketing specialists,Married,Marriage between a man and a woman,White,Yes,3,Favor,NA,Catholic,NA,NA,Very happy,Excellent,Routine,Ballot c,About right,About right,4,Refused,$25000 or more,Middle Atlantic,9,NA,Moderate,About right,Too little,About right,NA
78,3,89 or older,8,NA,NA,NA,NA,NA,NA,Female,10,Keeping house,NA,NA,Someone else,Government,Grounds maintenance workers,Widowed,NA,White,Yes,3,NA,NA,Catholic,NA,NA,Pretty happy,NA,NA,Ballot b,About right,About right,3,$25000 or more,(Missing),Middle Atlantic,9,NA,Moderate,NA,NA,NA,NA
79,1,47,14,12,NA,18,NA,NA,High school diploma,Female,6,Keeping house,NA,NA,Someone else,Private,Paralegals and legal assistants,Married,Marriage between a man and a woman,Other,Yes,4,Favor,NA,NA,NA,NA,Pretty happy,Good,Routine,Ballot c,Too little,About right,2,Refused,(Missing),Middle Atlantic,9,NA,Moderate,NA,NA,NA,NA
80,NA,63,NA,NA,NA,NA,NA,NA,NA,Female,2,NA,NA,NA,NA,NA,NA,Married,Marriage between a man and a woman,Other,Yes,Govt reduce diff,NA,NA,NA,NA,NA,Very happy,NA,NA,Ballot b,About right,Too little,2,Refused,Refused,Middle Atlantic,9,NA,(Missing),NA,NA,NA,NA
81,0,71,16,8,8,12,Education,NA,High school diploma,Female,10,Retired,NA,NA,Someone else,Private,Training and development managers,Married,Marriage between a man and a woman,Black,Yes,NA,Oppose,NA,Protestant,Episcopal,NA,Pretty happy,Good,Routine,Ballot a,About right,Too little,2,$25000 or more,(Missing),Middle Atlantic,43,Independent,Liberal,Too little,Too little,Too little,NA
82,1,42,12,14,12,12,Human services/human resources,NA,High school diploma,Female,1,Working fulltime,40,NA,Someone else,Private,NA,Married,Marriage between a man and a woman,Black,Yes,NA,Oppose,NA,NA,NA,NA,Pretty happy,Good,NA,Ballot a,About right,Too little,2,$25000 or more,Refused,Middle Atlantic,43,Democrat,(Missing),Too much,Too little,Too little,NA
83,1,37,12,NA,5,NA,NA,NA,High school diploma,Female,7,Working fulltime,40,NA,Someone else,Private,Medical assistants,Divorced,NA,Other,Yes,Govt reduce diff,Oppose,Legal,Catholic,NA,NA,Very happy,NA,NA,Ballot b,Too little,Too little,2,$25000 or more,$15000 - 19999,Middle Atlantic,43,Democrat,Moderate,Too little,Too little,Too little,NA
84,4,40,13,14,12,11,NA,NA,High school diploma,Female,1,Working fulltime,40,NA,Someone else,Private,First-line supervisors of food preparation and serving workers,Married,Marriage between a man and a woman,White,Yes,NA,Oppose,NA,Catholic,NA,NA,Very happy,Excellent,Routine,Ballot a,About right,About right,3,$25000 or more,$25000 or more,Middle Atlantic,43,Democrat,Extrmly conservative,NA,NA,NA,NA
85,4,70,12,NA,6,NA,NA,NA,High school diploma,Male,5,Working parttime,20,NA,Someone else,Private,Bus drivers,Separated,NA,White,No,Govt reduce diff,Favor,Legal,Catholic,NA,NA,Pretty happy,Good,Routine,Ballot c,Too little,Too little,2,$25000 or more,$20000 - 24999,Middle Atlantic,8175,Republican,Conservative,NA,NA,NA,50
86,0,28,17,0,12,NA,Criminology/criminal justice,NA,High school diploma,Male,2,Working fulltime,42,NA,Someone else,Government,Police and sheriff's patrol officers,Never married,NA,Black,Yes,2,Oppose,NA,None,NA,NA,Pretty happy,NA,NA,Ballot b,About right,Too little,2,$25000 or more,$25000 or more,Middle Atlantic,8175,Democrat,Slightly liberal,Too much,Too little,Too little,NA
87,2,53,13,0,6,NA,NA,NA,High school diploma,Female,6,Working fulltime,40,NA,Someone else,Private,Maids and housekeeping cleaners,Never married,NA,Other,No,No govt action,Oppose,Not legal,Protestant,No denomination,NA,Pretty happy,NA,NA,Ballot b,Too little,Too little,2,$25000 or more,Lt $1000,Middle Atlantic,8175,Democrat,Liberal,NA,NA,NA,37
88,2,46,16,NA,14,19,NA,NA,High school diploma,Male,0,Temp not working,NA,40,Someone else,Private,"Laborers and freight, stock, and material movers, hand",Married,Marriage between a man and a woman,White,Yes,3,Oppose,Legal,None,NA,NA,Pretty happy,Good,Exciting,Ballot c,About right,Too little,4,Refused,Refused,Middle Atlantic,8175,Democrat,Extremely liberal,Too little,Too little,Too little,NA
89,0,55,18,18,16,16,Library science,NA,NA,Male,2,Working fulltime,35,NA,Someone else,Government,Librarians,Married,Marriage between a man and a woman,White,Yes,2,Favor,Legal,Protestant,Evangelical luth,NA,Pretty happy,NA,NA,Ballot b,About right,Too little,2,$25000 or more,$25000 or more,Middle Atlantic,8175,Democrat,Liberal,NA,NA,NA,NA
90,0,28,18,17,16,NA,Journalism,NA,High school diploma,Male,2,Working fulltime,35,NA,Self-employed,Private,Writers and authors,Never married,NA,Other,Yes,Govt reduce diff,Favor,Legal,Moslem/islam,NA,NA,Pretty happy,NA,NA,Ballot b,About right,Too little,1,$8000 to 9999,$8000 to 9999,Middle Atlantic,8175,Democrat,Moderate,Too little,Too little,Too little,NA
91,0,42,16,16,16,NA,Business administration,NA,High school diploma,Male,2,Temp not working,NA,45,Someone else,Government,"Judges, magistrates, and other judicial workers",Never married,NA,White,Yes,4,Favor,Legal,None,NA,NA,Pretty happy,NA,NA,Ballot b,Too little,About right,1,$25000 or more,$25000 or more,Middle Atlantic,8175,Independent,Moderate,NA,NA,NA,NA
92,0,77,19,14,9,20,English,English,High school diploma,Female,1,Working parttime,3,NA,Self-employed,NA,Editors,Married,Marriage between a man and a woman,White,Yes,NA,Oppose,NA,Protestant,Other,Quaker,Not too happy,Excellent,Exciting,Ballot a,About right,Too little,1,$25000 or more,$15000 - 19999,Middle Atlantic,8175,Democrat,Extremely liberal,Too little,Too little,About right,NA
93,0,29,16,16,16,NA,Dentistry,NA,High school diploma,Male,2,Working parttime,30,NA,Someone else,Private,Dentists,Never married,NA,Other,Yes,6,Oppose,Legal,Hinduism,NA,NA,Very happy,NA,NA,Ballot b,About right,Too little,2,Refused,Refused,Middle Atlantic,8175,NA,Slightly liberal,NA,NA,NA,NA
94,1,62,12,NA,NA,NA,NA,NA,NA,Female,6,Keeping house,NA,NA,Someone else,Private,Childcare workers,Widowed,NA,Black,No,Govt reduce diff,Favor,NA,None,NA,NA,Not too happy,NA,NA,Ballot b,Too little,Too little,3,Refused,(Missing),Middle Atlantic,8175,Independent,Liberal,Too much,About right,Too little,20
95,2,30,16,NA,12,NA,Nursing,NA,High school diploma,Female,2,Working fulltime,40,NA,Someone else,Private,3890,Never married,NA,Black,Yes,NA,Oppose,NA,Protestant,No denomination,NA,Pretty happy,Fair,Routine,Ballot a,About right,Too little,1,$25000 or more,$25000 or more,Middle Atlantic,8175,Independent,Liberal,NA,NA,NA,NA
96,0,22,14,10,14,NA,NA,NA,High school diploma,Male,2,Working parttime,30,NA,Someone else,Private,"Shipping, receiving, and traffic clerks",Never married,NA,Black,Yes,5,Favor,Not legal,Protestant,Other,Jehovah's Witnesses,Pretty happy,Fair,Routine,Ballot c,Too little,About right,3,Refused,Refused,Middle Atlantic,8175,Democrat,Liberal,NA,NA,NA,NA
97,1,69,13,11,10,13,NA,NA,High school diploma,Female,4,Retired,NA,NA,Someone else,Government,First-line supervisors of personal service workers,Married,Marriage between a man and a woman,Black,Yes,3,Oppose,Legal,Protestant,Southern baptist,NA,Pretty happy,Good,Routine,Ballot c,Too little,Too little,2,$25000 or more,(Missing),Middle Atlantic,8175,Democrat,Liberal,Too much,Too little,Too little,NA
98,0,45,16,16,20,NA,Finance,NA,High school diploma,Male,2,Temp not working,NA,50,Someone else,Government,Social workers,Separated,NA,Black,Yes,NA,Favor,NA,Catholic,NA,NA,Very happy,Good,Exciting,Ballot a,About right,About right,1,$25000 or more,$25000 or more,Middle Atlantic,8175,Democrat,Slghtly conservative,Too little,Too little,Too little,NA
99,1,32,12,14,5,16,NA,NA,Ged,Female,6,Keeping house,NA,NA,NA,NA,NA,Married,Marriage between a man and a woman,Other,No,3,Oppose,Legal,Moslem/islam,NA,NA,Pretty happy,Excellent,Exciting,Ballot c,Too little,Too little,3,Refused,(Missing),Middle Atlantic,8175,Democrat,Moderate,NA,NA,NA,10
100,1,60,4,NA,NA,NA,NA,NA,NA,Female,1,Keeping house,NA,NA,Someone else,Private,"Inspectors, testers, sorters, samplers, and weighers",Widowed,NA,White,No,NA,Favor,Not legal,Catholic,NA,NA,Very happy,Good,Dull,Ballot c,About right,About right,1,$8000 to 9999,(Missing),Middle Atlantic,8175,Independent,Moderate,About right,About right,About right,29
101,1,48,12,NA,NA,NA,NA,NA,NA,Male,1,Working fulltime,40,NA,Someone else,Private,Firefighters,Divorced,NA,Other,Yes,NA,Oppose,NA,Catholic,NA,NA,Not too happy,Fair,Routine,Ballot a,Too much,Too much,1,$25000 or more,$25000 or more,Middle Atlantic,8175,Independent,Conservative,NA,NA,NA,NA
102,1,81,12,6,5,NA,NA,NA,High school diploma,Female,4,Retired,NA,NA,Someone else,Government,Licensed practical and licensed vocational nurses,Divorced,NA,Other,No,NA,Favor,NA,Hinduism,NA,NA,Not too happy,Poor,Routine,Ballot a,NA,Too little,2,$1000 to 2999,(Missing),Middle Atlantic,8175,Democrat,Liberal,Too much,About right,NA,47
103,0,50,18,12,12,18,Environmental science/ecology,NA,High school diploma,Male,1,Working fulltime,40,NA,Someone else,Private,Computer and information systems managers,Married,Marriage between a man and a woman,Other,Yes,2,Oppose,Legal,None,NA,NA,Pretty happy,Excellent,Routine,Ballot c,Too little,Too little,2,Refused,$25000 or more,Middle Atlantic,8175,Independent,Liberal,NA,NA,NA,NA
104,2,78,14,8,NA,10,NA,NA,High school diploma,Female,1,Retired,NA,NA,Someone else,Private,Marketing and sales managers,Married,Marriage between a man and a woman,White,Yes,No govt action,Favor,Not legal,Catholic,NA,NA,Very happy,Fair,Exciting,Ballot c,About right,Too little,2,$25000 or more,(Missing),Middle Atlantic,8175,Independent,Slghtly conservative,About right,Too little,Too little,NA
105,0,56,18,10,11,NA,Business administration,NA,High school diploma,Male,1,Temp not working,NA,24,Someone else,Private,Computer programmers,Never married,NA,White,Yes,Govt reduce diff,Oppose,Legal,Jewish,NA,NA,Pretty happy,NA,NA,Ballot b,About right,Too little,1,$25000 or more,$25000 or more,Middle Atlantic,8175,Democrat,Extremely liberal,NA,NA,NA,NA
106,0,60,14,12,9,NA,NA,NA,High school diploma,Male,4,Working fulltime,40,NA,Someone else,Private,Dispatchers,Never married,NA,White,Yes,NA,Oppose,NA,Catholic,NA,NA,Pretty happy,Good,Routine,Ballot a,About right,Too little,1,$25000 or more,$25000 or more,Middle Atlantic,8175,Independent,Slghtly conservative,About right,About right,Too little,NA
107,0,23,12,14,15,NA,NA,NA,High school diploma,Male,1,Working fulltime,64,NA,Someone else,Private,"Pipelayers, plumbers, pipefitters, and steamfitters",Never married,NA,White,Yes,4,Favor,Not legal,Catholic,NA,NA,Pretty happy,NA,NA,Ballot b,Too little,About right,4,$25000 or more,$25000 or more,Middle Atlantic,8175,Republican,Moderate,NA,NA,NA,NA
108,0,67,12,NA,NA,NA,NA,NA,High school diploma,Female,3,Temp not working,NA,40,Someone else,Private,"Claims adjusters, appraisers, examiners, and investigators",Never married,NA,White,Yes,Govt reduce diff,NA,Legal,Catholic,NA,NA,Pretty happy,NA,NA,Ballot b,Too little,About right,1,Refused,Refused,Middle Atlantic,8175,NA,(Missing),NA,NA,NA,NA
109,5,54,16,14,12,12,Human services/human resources,Health,High school diploma,Female,3,Working parttime,30,NA,Someone else,Private,Counselors,Married,Marriage between a man and a woman,White,Yes,Govt reduce diff,NA,Not legal,Catholic,NA,NA,Very happy,Good,Routine,Ballot c,About right,Too little,2,Refused,(Missing),Middle Atlantic,28,NA,(Missing),About right,Too little,About right,NA
110,2,62,14,14,13,16,Business administration,NA,High school diploma,Female,3,Keeping house,NA,NA,Someone else,Private,"Wholesale and retail buyers, except farm products",Married,Marriage between a man and a woman,White,Yes,3,NA,Legal,Catholic,NA,NA,Not too happy,NA,NA,Ballot b,About right,Too little,2,$25000 or more,(Missing),Middle Atlantic,28,NA,Slightly liberal,NA,NA,NA,NA
111,2,55,14,8,10,NA,Nursing,NA,High school diploma,Female,5,Working fulltime,36,NA,Someone else,Private,Registered nurses,Divorced,NA,White,Yes,5,Favor,Legal,Protestant,Am lutheran,NA,Very happy,Good,Exciting,Ballot c,About right,About right,1,$25000 or more,$25000 or more,Middle Atlantic,28,Democrat,Moderate,NA,NA,NA,NA
112,1,56,12,12,12,18,NA,NA,High school diploma,Female,2,Working parttime,28,NA,Someone else,Private,Secretaries and administrative assistants,Married,Marriage between a man and a woman,White,Yes,2,Favor,NA,Catholic,NA,NA,Very happy,NA,NA,Ballot b,About right,Too little,2,$25000 or more,$10000 - 14999,Middle Atlantic,28,Democrat,Conservative,About right,Too little,Too little,NA
113,0,58,14,NA,15,NA,Business administration,NA,High school diploma,Male,1,Keeping house,NA,NA,Someone else,Private,First-line supervisors of food preparation and serving workers,Never married,NA,White,Yes,Govt reduce diff,Oppose,Legal,None,NA,NA,Pretty happy,NA,NA,Ballot b,Too little,Too little,2,$25000 or more,(Missing),Middle Atlantic,57,Democrat,Extremely liberal,NA,NA,NA,NA
114,1,74,12,12,12,NA,NA,NA,High school diploma,Female,1,Retired,NA,NA,Someone else,Private,Retail salespersons,Divorced,NA,White,No,Govt reduce diff,Favor,Not legal,Catholic,NA,NA,Not too happy,NA,NA,Ballot b,NA,Too little,1,$10000 - 14999,(Missing),Middle Atlantic,57,Democrat,(Missing),NA,Too little,Too little,49
115,3,70,16,12,16,20,Foreign language,NA,High school diploma,Male,1,Working fulltime,40,NA,Someone else,Private,"Sales and related workers, all other",Married,Marriage between a man and a woman,White,Yes,2,Oppose,Legal,Protestant,Evangelical luth,NA,Pretty happy,NA,NA,Ballot b,About right,Too little,2,Refused,$25000 or more,Middle Atlantic,57,Democrat,Slightly liberal,NA,NA,NA,NA
116,2,35,17,12,13,16,Computer science,NA,High school diploma,Male,1,Working fulltime,40,NA,Someone else,Private,Financial managers,Married,Marriage between a man and a woman,White,Yes,NA,Favor,NA,Catholic,NA,NA,Very happy,Good,Exciting,Ballot a,About right,About right,4,Refused,(Missing),Middle Atlantic,57,NA,Slghtly conservative,Too little,Too little,Too little,NA
117,2,65,8,NA,NA,8,NA,NA,NA,Male,1,Retired,NA,NA,Someone else,Private,General and operations managers,Married,Marriage between a man and a woman,Black,Yes,4,Favor,Legal,None,NA,NA,Pretty happy,NA,NA,Ballot b,About right,About right,2,$25000 or more,(Missing),Middle Atlantic,24,Democrat,Moderate,NA,NA,NA,NA
118,2,42,14,NA,NA,12,Human services/human resources,NA,High school diploma,Female,6,Other,NA,NA,Someone else,Private,Social and community service managers,Married,Marriage between a man and a woman,White,Yes,3,Favor,Legal,None,NA,NA,Pretty happy,Fair,Dull,Ballot c,About right,About right,2,$25000 or more,(Missing),New England,7,NA,Moderate,About right,Too little,Too little,NA
119,2,48,13,NA,12,12,NA,NA,High school diploma,Female,0,Working parttime,16,NA,Self-employed,Private,"Hairdressers, hairstylists, and cosmetologists",Married,Marriage between a man and a woman,White,Yes,3,Favor,Legal,Catholic,NA,NA,Very happy,Excellent,Routine,Ballot c,About right,About right,4,$25000 or more,$10000 - 14999,New England,7,Republican,Slghtly conservative,NA,NA,NA,NA
120,0,32,13,NA,18,NA,NA,NA,Ged,Male,5,Working fulltime,40,NA,Someone else,Private,Carpenters,Never married,NA,White,Yes,NA,Favor,NA,Catholic,NA,NA,Pretty happy,Good,Exciting,Ballot a,NA,Too much,2,$25000 or more,$25000 or more,New England,7,Independent,Moderate,NA,NA,NA,NA
121,3,56,12,10,12,12,NA,NA,High school diploma,Female,2,Keeping house,NA,NA,Someone else,Private,Receptionists and information clerks,Married,Marriage between a man and a woman,White,Yes,2,Favor,Not legal,None,NA,NA,Pretty happy,Good,Exciting,Ballot c,Too little,Too much,5,$25000 or more,(Missing),New England,7,Independent,Conservative,Too much,Too little,Too little,NA
122,2,61,12,12,9,12,NA,NA,High school diploma,Female,3,Working fulltime,40,NA,Someone else,Private,Financial managers,Married,Marriage between a man and a woman,White,Yes,NA,Favor,NA,Catholic,NA,NA,Pretty happy,Good,Exciting,Ballot a,Too little,Too much,2,$25000 or more,$25000 or more,New England,7,NA,Extrmly conservative,About right,Too little,Too little,NA
123,2,76,16,8,12,NA,Political science/international relations,NA,High school diploma,Female,1,Working parttime,12,NA,Someone else,Private,Tour and travel guides,Widowed,NA,White,Yes,Govt reduce diff,Oppose,Legal,Protestant,United methodist,NA,Pretty happy,Good,Exciting,Ballot c,About right,Too little,1,$25000 or more,$10000 - 14999,NA,67,Democrat,Extremely liberal,NA,NA,NA,NA
124,2,59,16,16,16,16,Education,Liberal arts,High school diploma,Female,2,Working parttime,30,NA,Someone else,Government,Teacher assistants,Married,Marriage between a man and a woman,White,Yes,2,Favor,Legal,Protestant,Presbyterian c in us,NA,Pretty happy,Good,Exciting,Ballot c,About right,About right,2,$25000 or more,$25000 or more,NA,67,Independent,Slghtly conservative,About right,Too little,Too little,NA
125,0,69,16,10,12,NA,Business administration,NA,High school diploma,Male,2,Working parttime,30,NA,Someone else,Private,Real estate brokers and sales agents,Never married,NA,White,Yes,NA,Favor,NA,Protestant,No denomination,NA,Pretty happy,Good,Routine,Ballot a,Too little,Too little,1,$25000 or more,$25000 or more,NA,67,Democrat,Liberal,Too little,Too little,Too little,NA
126,0,48,18,14,12,NA,Accounting/bookkeeping,NA,High school diploma,Male,1,Working fulltime,40,NA,Someone else,Government,Secondary school teachers,Never married,NA,Other,Yes,3,Favor,Not legal,None,NA,NA,Pretty happy,NA,NA,Ballot b,About right,About right,1,$25000 or more,$25000 or more,NA,67,Democrat,Slightly liberal,Too much,Too little,About right,NA
